packet_length_max,iat_min,label
1423.9908675799086,1.429422805298403e-05,LDAP
99.85211267605631,2.2944430230369023e-05,LDAP
814.1166666666667,6.919436984592013e-06,LDAP
1512.683544303798,3.590798411523557e-05,LDAP
338.0,4.696846008300781e-05,LDAP
661.2299630086311,1.306179566389241e-05,MSSQL
506.699654867967,2.233386374618307e-05,MSSQL
1333.5596385542167,3.0847917120140723e-06,MSSQL
130.4464751958224,9.087296129829266e-06,MSSQL
908.5280000000001,5.689620971679688e-06,MSSQL
258.1988682295876,3.241798814112078e-05,NETBIOS
1506.0,4.792213439941406e-05,NETBIOS
309.8523409363745,2.7962234698566928e-05,NETBIOS
184.93869731800766,1.2933066064827289e-05,NETBIOS
92.77777777777777,1.865846139413339e-05,NETBIOS
289.0,6.29425048828125e-05,Portmap
253.0,4.8160552978515625e-05,Portmap
253.0,3.0994415283203125e-06,Portmap
59.999999999999986,3.442876238438873e-05,SYN
60.0,0.00015917217968145758,SYN
91.28542914171655,6.60386152134208e-06,SYN
445.82222222222225,2.3894839816623264e-06,SYN
60.000000000000014,8.469270940202037e-05,SYN
450.67654639175265,3.96262841535981e-05,UDP
348.3297694827267,3.906079021123813e-05,UDP
526.0939404392319,2.6591882029113735e-05,UDP
403.547392,3.978038024902172e-05,UDP
730.472148541114,8.682357221446555e-06,UDP
59.04660421545668,4.087626256610527,benign
59.611060020844825,54.99471929806963,benign
73.16568267645339,1.181207886192876,benign
61.67084512737564,114.83966929508613,benign
41.987087719298245,5.166681049581159,benign
65.62421185372004,1.1896575985459932e-05,slow-attacks
332.0,8.323751849892696e-05,slow-attacks
184.0,8.325917380196708e-05,slow-attacks
100.88095238095238,2.8780528477260043e-05,slow-attacks
359.0,0.001062675758644326,slow-attacks
