packet_length_max,iat_min,label
1491.2088888888889,3.05276446872286e-05,LDAP
118.59036144578315,2.3171126124370536e-05,LDAP
805.89898989899,8.262769140378391e-06,LDAP
701.0796100731111,1.1816419884986164e-05,MSSQL
476.67635605006944,2.1153845939583064e-05,MSSQL
1226.0985130111521,3.2366430006062674e-06,MSSQL
297.3659951159951,3.245869544545082e-05,NETBIOS
244.6,3.031585623042374e-05,NETBIOS
169.00343642611685,1.3254762105515731e-05,NETBIOS
289.0,6.29425048828125e-05,Portmap
253.0,4.8160552978515625e-05,Portmap
253.0,3.0994415283203125e-06,Portmap
458.16091954022994,2.362262243512033e-06,SYN
84.59006211180127,2.7452936824060703e-05,SYN
60.00000000000002,6.692235651509943e-05,SYN
532.4030008453086,2.5752330370505594e-05,UDP
435.4052951061421,4.134491648651394e-05,UDP
356.82970164264174,3.720082278041597e-05,UDP
72.87011973813642,1.3733302800053109,benign
59.874725274725286,63.89762326836585,benign
52.66806454553742,4.6275147166592525,benign
67.92163846838824,1.3207497600986826e-05,slow-attacks
342.86390532544374,0.0004771715085181731,slow-attacks
183.99999999999997,8.339630930047285e-05,slow-attacks
